source_path,relative_path,classification,probable_indicator,confidence,duplicate_status,sensitivity_status,selection_reason,pilot_risk,recommended_target_type
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/executive/GHG_MISMATCH_REPORT.md,images/data/executive/GHG_MISMATCH_REPORT.md,dashboard_source,1.5.1,medium,unique,clear,Pilot bucket: formal_evidence_md,medium,evidence
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/waste/waste_analysis.json,images/data/waste/waste_analysis.json,dashboard_source,4.1.2,high,unique,clear,Pilot bucket: formal_evidence_json,low,evidence
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/executive/ghg_analysis.json,images/data/executive/ghg_analysis.json,dashboard_source,1.5.1,medium,unique,clear,Pilot bucket: formal_evidence_json,medium,evidence
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/energy/energy_analysis.json,images/data/energy/energy_analysis.json,dashboard_source,3.2.2,high,unique,clear,Pilot bucket: formal_evidence_json,low,evidence
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/executive/executive-report.html,images/data/executive/executive-report.html,dashboard_source,1.5.1,medium,unique,clear,Pilot bucket: formal_evidence_html,medium,evidence
/home/rae_admin/joomla-greenoffice/joomla_data/images/Img4/plan2025/plan2025_Page_03.jpg,images/Img4/plan2025/plan2025_Page_03.jpg,activity_image,1.1.4,medium,unique,clear,Pilot bucket: policy_plan_awareness,medium,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/Img4/plan2025/plan2025_Page_18.jpg,images/Img4/plan2025/plan2025_Page_18.jpg,activity_image,1.1.4,medium,unique,clear,Pilot bucket: policy_plan_awareness,medium,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/Img4/plan2025/plan2025_Page_04.jpg,images/Img4/plan2025/plan2025_Page_04.jpg,activity_image,1.1.4,medium,unique,clear,Pilot bucket: policy_plan_awareness,medium,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/Img4/plan2025/plan2025_Page_07.jpg,images/Img4/plan2025/plan2025_Page_07.jpg,activity_image,1.1.4,medium,unique,clear,Pilot bucket: policy_plan_awareness,medium,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/executive/ghg_2566-2568_v1.csv,images/data/executive/ghg_2566-2568_v1.csv,dashboard_source,1.5.1,medium,unique,clear,Pilot bucket: dashboard_spreadsheet,medium,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/executive/ghg_2567-2568_v1.csv,images/data/executive/ghg_2567-2568_v1.csv,dashboard_source,1.5.1,medium,unique,clear,Pilot bucket: dashboard_spreadsheet,medium,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/waste/waste_2567-2568_v1.csv,images/data/waste/waste_2567-2568_v1.csv,dashboard_source,4.1.2,high,unique,clear,Pilot bucket: dashboard_spreadsheet,low,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/waste/waste_2568_detailed_v1.csv,images/data/waste/waste_2568_detailed_v1.csv,dashboard_source,4.1.2,high,unique,clear,Pilot bucket: dashboard_spreadsheet,low,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/energy/_bak/energy_electricity_2567-2568_v1_20260307_080309.csv,images/data/energy/_bak/energy_electricity_2567-2568_v1_20260307_080309.csv,dashboard_source,3.2.2,high,unique,clear,Pilot bucket: dashboard_spreadsheet,low,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/2026/02/18/BigCleaning_19.jpg,images/2026/02/18/BigCleaning_19.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: activity_image,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/2026/02/18/BigCleaning_18.jpg,images/2026/02/18/BigCleaning_18.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: activity_image,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/2026/02/18/BigCleaning_17.jpg,images/2026/02/18/BigCleaning_17.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: activity_image,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/2026/02/18/BigCleaning_20.jpg,images/2026/02/18/BigCleaning_20.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: activity_image,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/2026/02/17/DSC_0072.jpg,images/2026/02/17/DSC_0072.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: activity_image,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/awareness/awareness-admin.html,images/data/awareness/awareness-admin.html,dashboard_source,2.2.1,medium,unique,clear,Pilot bucket: knowledge_media,medium,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/waste/dashboard.html,images/data/waste/dashboard.html,dashboard_source,4.1.2,high,unique,clear,Pilot bucket: knowledge_media,low,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/data/executive/executive-dashboard.html,images/data/executive/executive-dashboard.html,dashboard_source,1.5.1,medium,unique,clear,Pilot bucket: knowledge_media,medium,dashboard_source
/home/rae_admin/joomla-greenoffice/joomla_data/images/img1/th/20220920_1619241.jpg,images/img1/th/20220920_1619241.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: ambiguous_review,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/img1/th/20220907_125153.jpg,images/img1/th/20220907_125153.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: ambiguous_review,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/img1/th/20220922_152856.jpg,images/img1/th/20220922_152856.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: ambiguous_review,high,activity_image
/home/rae_admin/joomla-greenoffice/joomla_data/images/img1/th/20220920_1615241.jpg,images/img1/th/20220920_1615241.jpg,activity_image,2.2.1,low,unique,clear,Pilot bucket: ambiguous_review,high,activity_image
