relative_path,filename,extension,file_type,risk_classification,recommended_exclusion,size_bytes
configuration.php,configuration.php,php,joomla_config,joomla_config,exclude,4286
plugins/system/t4/themes/base/html/layouts/joomla/form/field/password.php,password.php,php,secret_pattern,secret_pattern,exclude,7597
plugins/system/helixultimate/overrides/layouts/joomla/form/field/password.php,password.php,php,secret_pattern,secret_pattern,exclude,6199
plugins/system/helixultimate/overrides_legacy/layouts/joomla/form/field/password.php,password.php,php,secret_pattern,secret_pattern,exclude,3568
administrator/components/com_banners/sql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,121
administrator/components/com_banners/sql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,3131
administrator/components/com_t4pagebuilder/sql/install/mysql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,76
administrator/components/com_t4pagebuilder/sql/install/mysql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,2637
administrator/components/com_t4pagebuilder/sql/updates/mysql/2.0.2.sql,2.0.2.sql,sql,database_dump,database_dump,exclude,122
administrator/components/com_t4pagebuilder/sql/updates/mysql/1.0.1-2020-08-04.sql,1.0.1-2020-08-04.sql,sql,database_dump,database_dump,exclude,362
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-09-26.sql,6.0.0-2025-09-26.sql,sql,database_dump,database_dump,exclude,745
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-08-16.sql,6.0.0-2025-08-16.sql,sql,database_dump,database_dump,exclude,485
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-09-17.sql,6.0.0-2025-09-17.sql,sql,database_dump,database_dump,exclude,1629
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-08-17.sql,6.0.0-2025-08-17.sql,sql,database_dump,database_dump,exclude,533
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-03-25.sql,6.0.0-2025-03-25.sql,sql,database_dump,database_dump,exclude,347
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-09-16.sql,6.0.0-2025-09-16.sql,sql,database_dump,database_dump,exclude,332
administrator/components/com_admin/sql/updates/mysql/6.0.0-2024-08-11.sql,6.0.0-2024-08-11.sql,sql,database_dump,database_dump,exclude,203
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-09-23.sql,6.0.0-2025-09-23.sql,sql,database_dump,database_dump,exclude,184
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-08-02.sql,6.0.0-2025-08-02.sql,sql,database_dump,database_dump,exclude,5793
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-09-05.sql,6.0.0-2025-09-05.sql,sql,database_dump,database_dump,exclude,2186
administrator/components/com_admin/sql/updates/mysql/6.0.1-2025-10-29.sql,6.0.1-2025-10-29.sql,sql,database_dump,database_dump,exclude,556
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-10-11.sql,6.0.0-2025-10-11.sql,sql,database_dump,database_dump,exclude,236
administrator/components/com_admin/sql/updates/mysql/6.0.0-2025-05-20.sql,6.0.0-2025-05-20.sql,sql,database_dump,database_dump,exclude,118
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-09-26.sql,6.0.0-2025-09-26.sql,sql,database_dump,database_dump,exclude,847
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-08-16.sql,6.0.0-2025-08-16.sql,sql,database_dump,database_dump,exclude,485
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-09-17.sql,6.0.0-2025-09-17.sql,sql,database_dump,database_dump,exclude,1617
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-08-17.sql,6.0.0-2025-08-17.sql,sql,database_dump,database_dump,exclude,533
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-03-25.sql,6.0.0-2025-03-25.sql,sql,database_dump,database_dump,exclude,363
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-09-16.sql,6.0.0-2025-09-16.sql,sql,database_dump,database_dump,exclude,332
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2024-08-11.sql,6.0.0-2024-08-11.sql,sql,database_dump,database_dump,exclude,203
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-09-23.sql,6.0.0-2025-09-23.sql,sql,database_dump,database_dump,exclude,184
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-10-10.sql,6.0.0-2025-10-10.sql,sql,database_dump,database_dump,exclude,165
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-08-02.sql,6.0.0-2025-08-02.sql,sql,database_dump,database_dump,exclude,5855
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-09-05.sql,6.0.0-2025-09-05.sql,sql,database_dump,database_dump,exclude,2186
administrator/components/com_admin/sql/updates/postgresql/6.0.1-2025-10-29.sql,6.0.1-2025-10-29.sql,sql,database_dump,database_dump,exclude,702
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-10-11.sql,6.0.0-2025-10-11.sql,sql,database_dump,database_dump,exclude,238
administrator/components/com_admin/sql/updates/postgresql/6.0.0-2025-05-20.sql,6.0.0-2025-05-20.sql,sql,database_dump,database_dump,exclude,118
administrator/components/com_admin/src/Service/HTML/Configuration.php,Configuration.php,php,joomla_config,joomla_config,exclude,1008
administrator/components/com_contact/sql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,44
administrator/components/com_contact/sql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,2019
administrator/components/com_newsfeeds/sql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,38
administrator/components/com_newsfeeds/sql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,1549
administrator/components/com_sppagebuilder/assets/vendor/facebook/graph-sdk/src/Facebook/HttpClients/certs/DigiCertHighAssuranceEVRootCA.pem,DigiCertHighAssuranceEVRootCA.pem,pem,crypto_key,crypto_key,exclude,1367
administrator/components/com_sppagebuilder/sql/install/mysql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_sppagebuilder/sql/install/mysql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,11871
administrator/components/com_sppagebuilder/sql/install/postgresql/install.postgresql.sql,install.postgresql.sql,sql,database_dump,database_dump,exclude,3384
administrator/components/com_sppagebuilder/sql/updates/mysql/5.1.1.sql,5.1.1.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/3.7.11.sql,3.7.11.sql,sql,database_dump,database_dump,exclude,9
administrator/components/com_sppagebuilder/sql/updates/mysql/6.2.0.sql,6.2.0.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/5.0.0-rc.1.sql,5.0.0-rc.1.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_sppagebuilder/sql/updates/mysql/5.5.1.sql,5.5.1.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/3.8.4.sql,3.8.4.sql,sql,database_dump,database_dump,exclude,8
administrator/components/com_sppagebuilder/sql/updates/mysql/5.0.0.sql,5.0.0.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_sppagebuilder/sql/updates/mysql/5.2.0.sql,5.2.0.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/5.7.0.sql,5.7.0.sql,sql,database_dump,database_dump,exclude,331
administrator/components/com_sppagebuilder/sql/updates/mysql/3.8.1.sql,3.8.1.sql,sql,database_dump,database_dump,exclude,12
administrator/components/com_sppagebuilder/sql/updates/mysql/5.3.2.sql,5.3.2.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/4.0.7.sql,4.0.7.sql,sql,database_dump,database_dump,exclude,8
administrator/components/com_sppagebuilder/sql/updates/mysql/5.4.4.sql,5.4.4.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/5.3.1.sql,5.3.1.sql,sql,database_dump,database_dump,exclude,297
administrator/components/com_sppagebuilder/sql/updates/mysql/5.2.4.sql,5.2.4.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/3.7.12.sql,3.7.12.sql,sql,database_dump,database_dump,exclude,9
administrator/components/com_sppagebuilder/sql/updates/mysql/3.3-2018-06-28.sql,3.3-2018-06-28.sql,sql,database_dump,database_dump,exclude,155
administrator/components/com_sppagebuilder/sql/updates/mysql/5.4.3.sql,5.4.3.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/5.4.6.sql,5.4.6.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/2.0-2016-11-04.sql,2.0-2016-11-04.sql,sql,database_dump,database_dump,exclude,1507
administrator/components/com_sppagebuilder/sql/updates/mysql/5.2.3.sql,5.2.3.sql,sql,database_dump,database_dump,exclude,17
administrator/components/com_sppagebuilder/sql/updates/mysql/5.3.0.sql,5.3.0.sql,sql,database_dump,database_dump,exclude,17
