evidence_link_id,joomla_article_id,article_title,source_url,normalized_url,storage_provider,storage_scope,probable_owner,access_status,file_name,file_type,category,issue,indicator_codes,mapping_status,confidence,occurrence_count,duplicate_group,ownership_risk,migration_priority,recommended_destination,last_checked_at,notes
SP-0001,52,5.4 ความน่าอยู่,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M?e=BKmQpp,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQDLF_P7NaHL,binary_document,5,5.4,5.4.1,probable,medium,4,DUP-d529e3,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.4
SP-0002,52,5.4 ความน่าอยู่,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M?e=BKmQpp,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQDLF_P7NaHL,binary_document,5,5.4,5.4.1,probable,medium,4,DUP-d529e3,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.4
SP-0003,52,5.4 ความน่าอยู่,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M?e=BKmQpp,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQDLF_P7NaHL,binary_document,5,5.4,5.4.1,probable,medium,4,DUP-d529e3,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.4
SP-0004,52,5.4 ความน่าอยู่,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M?e=BKmQpp,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQDLF_P7NaHL,binary_document,5,5.4,5.4.1,probable,medium,4,DUP-d529e3,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.4
SP-0005,53,5.5 การเตรียมพร้อมต่อสภาวะฉุกเฉิน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA?e=8Nn6cI,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCkJo5Yc5QD,binary_document,5,5.5,5.5.1,probable,medium,3,DUP-d3f3be,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.5
SP-0006,53,5.5 การเตรียมพร้อมต่อสภาวะฉุกเฉิน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA?e=8Nn6cI,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCkJo5Yc5QD,binary_document,5,5.5,5.5.1,probable,medium,3,DUP-d3f3be,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.5
SP-0007,53,5.5 การเตรียมพร้อมต่อสภาวะฉุกเฉิน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA?e=8Nn6cI,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCkJo5Yc5QD,binary_document,5,5.5,5.5.1,probable,medium,3,DUP-d3f3be,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 5.5
SP-0008,36,1.4 กฎหมายและข้อกำหนดอื่นๆ ที่เกี่ยวข้อง,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps?e=x5o7BE,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQC8vbg-VrrE,binary_document,1,1.4,1.4.1|1.4.2,probable,medium,2,DUP-ad2061,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.4
SP-0009,36,1.4 กฎหมายและข้อกำหนดอื่นๆ ที่เกี่ยวข้อง,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps?e=x5o7BE,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQC8vbg-VrrE,binary_document,1,1.4,1.4.1|1.4.2,probable,medium,2,DUP-ad2061,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.4
SP-0010,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s?e=6alT85,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCjAOcIrTVo,binary_document,1,1.7,1.7.1|1.7.2,probable,medium,2,DUP-ad67e4,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.7
SP-0011,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s?e=LVtOyV,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,1.7.1(2) กำหนดองค์ประชุมฯ,binary_document,1,1.7,1.7.1|1.7.2,probable,medium,2,DUP-ad67e4,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.7
SP-0012,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw?e=SDrfZb,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQBsovJYQs-M,binary_document,1,1.7,1.7.1|1.7.2,probable,medium,2,DUP-5d09fd,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.7
SP-0013,39,1.7 การทบทวนฝ่ายบริหาร,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw?e=XcddDm,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,1.7.2(1) รายงานการประชุมคณะกรรมการอำนวยการฯ (7 มี.ค.2568),binary_document,1,1.7,1.7.1|1.7.2,probable,medium,2,DUP-5d09fd,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 1.7
SP-0014,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E?e=mV5sEq,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.1 มาตรการหรือแนวทางการใช้ไฟฟ้าเหมาะสมกับสำนักงาน,binary_document,3,3.2,3.2.2,confirmed,high,2,DUP-8060bd,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.2.1 มาตรการหรือแนวทางการใช้ไฟฟ้าเหมาะสมกับสำนักงาน"" matches indicator pattern"
SP-0015,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E?e=mV5sEq,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.1 มาตรการหรือแนวทางการใช้ไฟฟ้าเหมาะสมกับสำนักงาน,binary_document,3,3.2,3.2.2,confirmed,high,2,DUP-8060bd,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.2.1 มาตรการหรือแนวทางการใช้ไฟฟ้าเหมาะสมกับสำนักงาน"" matches indicator pattern"
SP-0016,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c?e=TL6or3,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCLFwLjA8XM,binary_document,3,3.2,3.2.1|3.2.2|3.2.3|3.2.4|3.2.5,probable,medium,2,DUP-a3475f,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.2
SP-0017,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c?e=k6C8uN,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.3 มาตรการประหยัดไฟฟ้าในพื้นที่ทำงาน,binary_document,3,3.2,3.2.1|3.2.2|3.2.3|3.2.4|3.2.5,probable,medium,2,DUP-a3475f,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.2
SP-0018,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk?e=8QRb1e,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.4(1) มาตรการหรือแนวทางการใช้น้ำมันเชื้อเพลิงในการเดินทาง,binary_document,3,3.2,3.1.1,probable,medium,2,DUP-48be0d,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.2.4(1) มาตรการหรือแนวทางการใช้น้ำมันเชื้อเพลิงในการเดินทาง"" matches indicator pattern"
SP-0019,44,3.2 การใช้พลังงาน,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk?e=8QRb1e,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.2.4(1) มาตรการหรือแนวทางการใช้น้ำมันเชื้อเพลิงในการเดินทาง,binary_document,3,3.2,3.1.1,probable,medium,2,DUP-48be0d,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.2.4(1) มาตรการหรือแนวทางการใช้น้ำมันเชื้อเพลิงในการเดินทาง"" matches indicator pattern"
SP-0020,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk?e=NsujPa,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQCTS9JC5u9E,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-dfdde1,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
SP-0021,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk?e=clkrfh,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,3.3.1 มาตรการหรือแนวทางการใช้กระดาษที่เหมาะสมกับสำนักงาน,binary_document,3,3.3,3.3.2,confirmed,high,2,DUP-dfdde1,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,"Anchor text ""3.3.1 มาตรการหรือแนวทางการใช้กระดาษที่เหมาะสมกับสำนักงาน"" matches indicator pattern"
SP-0022,45,3.3 การใช้ทรัพยากรอื่นๆ,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA?e=IYM4qK,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA,microsoft_sharepoint_onedrive,personal_onedrive,prinya_mju_ac_th,ACCESS_DENIED,sharepoint_item_IQBqUGjx_JIf,binary_document,3,3.3,3.3.1|3.3.2|3.3.3|3.3.4|3.3.5,probable,medium,2,DUP-aca492,critical,P0_CRITICAL,central_sharepoint_evidence_library,2026-07-20T13:49:13.092364+07:00,Joomla article title maps to issue 3.3
