evidence_link_id,sharepoint_item_id,source_url,access_status,http_status,failure_reason,last_checked_at
SP-0054,IQDzn-RPP_HjQZXJJFQXIHsrAXF49EtCX1g-oeUxBOZr_5Q,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDzn-RPP_HjQZXJJFQXIHsrAXF49EtCX1g-oeUxBOZr_5Q?e=TeY34k,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0056,IQCCNm4xkOOoR5n4JWdgq5zIAWl9bzgITKr3vc3I7KEaMkM,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCCNm4xkOOoR5n4JWdgq5zIAWl9bzgITKr3vc3I7KEaMkM?e=dN5RQb,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0057,IQBZsx1N_x_qTZYrWDD_B37yAb6G5wMxGkZQdAtJaWIbkhk,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBZsx1N_x_qTZYrWDD_B37yAb6G5wMxGkZQdAtJaWIbkhk?e=dwwBOK,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0014,IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E?e=mV5sEq,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0016,IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c?e=TL6or3,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0061,IQAUiuq5ih1EQ4TdIVKlRy1NAZfCvmD9L1rVyGrRNNHGFoA,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAUiuq5ih1EQ4TdIVKlRy1NAZfCvmD9L1rVyGrRNNHGFoA?e=RtsCxa,LOGIN_PAGE,200,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0020,IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk?e=NsujPa,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0022,IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA?e=IYM4qK,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0028,IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE?e=ng8xBy,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
SP-0068,IQAgR9yv1y6ZR4Rz-_UF_i6MAbfwDJvJ9fUhTMBa_P3lvps,https://maejo365-my.sharepoint.com/:b:/g/personal/prinya_mju_ac_th/IQAgR9yv1y6ZR4Rz-_UF_i6MAbfwDJvJ9fUhTMBa_P3lvps?e=IcrooX,ACCESS_DENIED,403,AUTHORIZATION_BLOCKED — no authenticated M365 session,2026-07-20T13:56:07.498971+07:00
