evidence_link_id,sharepoint_item_id,indicator_codes,validation_status,central_import_status,recommended_destination,readiness
SP-0054,IQDzn-RPP_HjQZXJJFQXIHsrAXF49EtCX1g-oeUxBOZr_5Q,3.1.1|3.1.2|3.1.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.1.2/,EXPORT_FAILED
SP-0056,IQCCNm4xkOOoR5n4JWdgq5zIAWl9bzgITKr3vc3I7KEaMkM,3.1.1|3.1.2|3.1.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.1.2/,EXPORT_FAILED
SP-0057,IQBZsx1N_x_qTZYrWDD_B37yAb6G5wMxGkZQdAtJaWIbkhk,3.1.1|3.1.2|3.1.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.1.2/,EXPORT_FAILED
SP-0014,IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E,3.2.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.2.2/,EXPORT_FAILED
SP-0016,IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c,3.2.1|3.2.2|3.2.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.2.2/,EXPORT_FAILED
SP-0061,IQAUiuq5ih1EQ4TdIVKlRy1NAZfCvmD9L1rVyGrRNNHGFoA,3.2.1|3.2.2|3.2.3,LOGIN_PAGE_CAPTURED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.2.2/,EXPORT_FAILED
SP-0020,IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk,3.3.1|3.3.2|3.3.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.3.1/,EXPORT_FAILED
SP-0022,IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA,3.3.1|3.3.2|3.3.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.3.1/,EXPORT_FAILED
SP-0028,IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE,4.2.1|4.2.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-4/indicator-4.2.1/,EXPORT_FAILED
SP-0068,IQAgR9yv1y6ZR4Rz-_UF_i6MAbfwDJvJ9fUhTMBa_P3lvps,4.1.1|4.1.2|4.1.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-4/indicator-4.1.1/,EXPORT_FAILED
SP-0045,IQBIROYaTmqSSqXAkTMn_cM0AWYIFrc6CV7fSWq4X0fQYeU,1.5.1|1.5.2|1.5.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-1/indicator-1.5.1/,EXPORT_FAILED
SP-0046,IQAYqO7zIhToQoY0jg0XMQ2KAVvO-4NpnWizfw0rCoNCJ6g,1.5.1|1.5.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2568/category-1/indicator-1.5.1/,EXPORT_FAILED
SP-0047,IQAh-Jq8-GxaR4R-x2BeYZKXAakh7ZBTFxTvJ2lGpPOkKNc,1.5.1|1.5.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2567/category-1/indicator-1.5.1/,EXPORT_FAILED
SP-0001,IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,5.4.1,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-5/indicator-5.4.1/,EXPORT_FAILED
SP-0005,IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA,5.5.1,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-5/indicator-5.5.1/,EXPORT_FAILED
SP-0008,IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps,1.4.1|1.4.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-1/indicator-1.4.1/,EXPORT_FAILED
SP-0024,IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo,3.3.1|3.3.2|3.3.3,LOGIN_PAGE_CAPTURED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.3.1/,EXPORT_FAILED
SP-0026,IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98,3.3.1|3.3.2|3.3.3,LOGIN_PAGE_CAPTURED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.3.1/,EXPORT_FAILED
SP-0036,IQC4RtE-sdJ3S5lTho_5K7LZAXPOPkrh0DaYiJjvTpla_Vc,1.1.1|1.1.2|1.1.3,LOGIN_PAGE_CAPTURED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-1/indicator-1.1.1/,EXPORT_FAILED
SP-0034,IQBzUqgnIy0bR4bhxynMCkw3AaJ_NJHSlkUuhj_qU2SqP08,,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-5/indicator-/,EXPORT_FAILED
SP-0035,IQCA8FNqsA3VTp7Yao-2ynkhAYhIPcQVureMkRFms6j_LjU,,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-7/indicator-/,EXPORT_FAILED
SP-0058,Ed9yefosFCFPh1H_0I0Mb0gBs07imx2AywWkmGDK3ZxkxQ,3.1.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.1.2/,EXPORT_FAILED
SP-0062,EQ1j2DbbdF9IkToyjdQL_QUBL6Lp80U6wlInRdYFcxeTEw,3.2.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.2.2/,EXPORT_FAILED
SP-0063,IQCiFsghTHAXRqyFPKs1YR6ZAZTZfQjbkxyThTalLJySJ7E,3.2.1|3.2.2|3.2.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.2.2/,EXPORT_FAILED
SP-0066,IQBzhX99A4zIQ7ZDwSij2bB1AaxPEp9t1VVfc21ReIdREtY,3.3.1|3.3.2|3.3.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.3.1/,EXPORT_FAILED
SP-0048,IQAbwr0kbFPGS5MAHjLoOXUbAU_VUdP_4MwMj4M125xys4Q,1.5.1|1.5.2|1.5.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-1/indicator-1.5.1/,EXPORT_FAILED
SP-0069,IQDpbzu0scr6TbnDPvpKVyU0AXSuqCuApafOqFnNTI5gKHQ,4.1.1|4.1.2|4.1.3,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-4/indicator-4.1.1/,EXPORT_FAILED
SP-0010,IQCjAOcIrTVoSY8zdgqQJSB5AR884SGk-5-WlTVPEsoDk-s,1.7.1|1.7.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-1/indicator-1.7.1/,EXPORT_FAILED
SP-0012,IQBsovJYQs-MS6lF6gShrm0FAfHS1cjp5qpudNy638RvhDw,1.7.1|1.7.2,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-1/indicator-1.7.1/,EXPORT_FAILED
SP-0018,IQCFTwbSPA_xTquyVcbjBp9bAaEOOnOmbiXR96CMTdgRZnk,3.1.1,AUTH_REQUIRED,EXPORT_FAILED,central_sharepoint_evidence_library/2569/category-3/indicator-3.1.1/,EXPORT_FAILED
