evidence_link_id,sharepoint_item_id,original_filename,category,issue,indicator_codes,evidence_type,year,mapping_status,confidence,notes,mapping_reason
SP-0054,IQDzn-RPP_HjQZXJJFQXIHsrAXF49EtCX1g-oeUxBOZr_5Q,sharepoint_item_IQDzn-RPP_Hj,3,3.1,3.1.1|3.1.2|3.1.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 3.1
SP-0056,IQCCNm4xkOOoR5n4JWdgq5zIAWl9bzgITKr3vc3I7KEaMkM,3.1.1(2) ปริมาณน้ำทิ้งจากเครื่องปรับอากาศ,3,3.1,3.1.1|3.1.2|3.1.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 3.1
SP-0057,IQBZsx1N_x_qTZYrWDD_B37yAb6G5wMxGkZQdAtJaWIbkhk,sharepoint_item_IQBZsx1N_x_q,3,3.1,3.1.1|3.1.2|3.1.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 3.1
SP-0014,IQDDx8lnLO2CRKLtmsIn9wRlAV-aKaQ8iG3QJDo62psWc5E,3.2.1 มาตรการหรือแนวทางการใช้ไฟฟ้าเหมาะสมกับสำนักงาน,3,3.2,3.2.2,pdf,2569,confirmed,high,No M365 authenticated session on export host,"Anchor text ""3.2.1 มาตรการหรือแนวทางการใช้ไฟฟ้าเหมาะสมกับสำนักงาน"" matches indicator pattern"
SP-0016,IQCLFwLjA8XMSr491rZMLvFXAQ4QIBFKJxXwzSfSGJKmH5c,sharepoint_item_IQCLFwLjA8XM,3,3.2,3.2.1|3.2.2|3.2.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 3.2
SP-0061,IQAUiuq5ih1EQ4TdIVKlRy1NAZfCvmD9L1rVyGrRNNHGFoA,sharepoint_item_IQAUiuq5ih1E,3,3.2,3.2.1|3.2.2|3.2.3,pdf,2569,probable,medium,No M365 authenticated session on export host; HTML login/gateway page returned — not exported as evidence,Joomla article title maps to issue 3.2
SP-0020,IQCTS9JC5u9ET4uEdOjFH3R_AbykRElj2a-nU5BQTV9qjTk,sharepoint_item_IQCTS9JC5u9E,3,3.3,3.3.1|3.3.2|3.3.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 3.3
SP-0022,IQBqUGjx_JIfTJrMSVGMrOeuARNFFnhZ4cT11_Kv9ibzjHA,sharepoint_item_IQBqUGjx_JIf,3,3.3,3.3.1|3.3.2|3.3.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 3.3
SP-0028,IQAu_TXwiCxdTrYtKV6bR968AbCwpXVAvjRQkbWXsLopkyE,sharepoint_item_IQAu_TXwiCxd,4,4.2,4.2.1|4.2.2,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 4.2
SP-0068,IQAgR9yv1y6ZR4Rz-_UF_i6MAbfwDJvJ9fUhTMBa_P3lvps,sharepoint_item_IQAgR9yv1y6Z,4,4.1,4.1.1|4.1.2|4.1.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 4.1
SP-0045,IQBIROYaTmqSSqXAkTMn_cM0AWYIFrc6CV7fSWq4X0fQYeU,sharepoint_item_IQBIROYaTmqS,1,1.5,1.5.1|1.5.2|1.5.3,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 1.5
SP-0046,IQAYqO7zIhToQoY0jg0XMQ2KAVvO-4NpnWizfw0rCoNCJ6g,- แบบฟอร์ม 1.5.1(1) ปี68,1,1.5,1.5.1|1.5.2,spreadsheet,2568,probable,medium,No M365 authenticated session on export host,"Anchor text ""- แบบฟอร์ม 1.5.1(1) ปี68"" matches indicator pattern"
SP-0047,IQAh-Jq8-GxaR4R-x2BeYZKXAakh7ZBTFxTvJ2lGpPOkKNc,- แบบฟอร์ม 1.5.1(2) ปี67-66,1,1.5,1.5.1|1.5.2,spreadsheet,2567,probable,medium,No M365 authenticated session on export host,"Anchor text ""- แบบฟอร์ม 1.5.1(2) ปี67-66"" matches indicator pattern"
SP-0001,IQDLF_P7NaHLS6EHBk434hRtAQe_SVlbrKfNDqxjZZZEw_M,sharepoint_item_IQDLF_P7NaHL,5,5.4,5.4.1,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 5.4
SP-0005,IQCkJo5Yc5QDTL4eRhUI5cEnAbG-L1L-fHHI8QOUwc1qYVA,sharepoint_item_IQCkJo5Yc5QD,5,5.5,5.5.1,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 5.5
SP-0008,IQC8vbg-VrrEQqFsfZkBOXEcATXmUfG7BHyd0bbLNSAR3Ps,sharepoint_item_IQC8vbg-VrrE,1,1.4,1.4.1|1.4.2,pdf,2569,probable,medium,No M365 authenticated session on export host,Joomla article title maps to issue 1.4
SP-0024,IQBKXnnuV01OR41c6vAamPXrATW141dVbEih8tuQP725MEo,sharepoint_item_IQBKXnnuV01O,3,3.3,3.3.1|3.3.2|3.3.3,pdf,2569,probable,medium,No M365 authenticated session on export host; HTML login/gateway page returned — not exported as evidence,Joomla article title maps to issue 3.3
SP-0026,IQCo1Ls9MkuNSI0yScB3Rbz3AUWDkcb8xD6qUxPMu2syl98,sharepoint_item_IQCo1Ls9MkuN,3,3.3,3.3.1|3.3.2|3.3.3,pdf,2569,probable,medium,No M365 authenticated session on export host; HTML login/gateway page returned — not exported as evidence,Joomla article title maps to issue 3.3
SP-0036,IQC4RtE-sdJ3S5lTho_5K7LZAXPOPkrh0DaYiJjvTpla_Vc,sharepoint_item_IQC4RtE-sdJ3,1,1.1,1.1.1|1.1.2|1.1.3,pdf,2569,probable,medium,No M365 authenticated session on export host; HTML login/gateway page returned — not exported as evidence,Joomla article title maps to issue 1.1
SP-0034,IQBzUqgnIy0bR4bhxynMCkw3AaJ_NJHSlkUuhj_qU2SqP08,สภาพแวดล้อมและความปลอดภัย,5,,,pdf,2569,needs_review,low,No M365 authenticated session on export host,Category header page — indicator mapping requires link-level context
SP-0035,IQCA8FNqsA3VTp7Yao-2ynkhAYhIPcQVureMkRFms6j_LjU,หมวดที่ 7 — การดำเนินงานสำนักงานสีเขียวเพื่อความต่อเนื่อง,7,,,pdf,2569,needs_review,low,No M365 authenticated session on export host,Category header page — indicator mapping requires link-level context
SP-0058,Ed9yefosFCFPh1H_0I0Mb0gBs07imx2AywWkmGDK3ZxkxQ,3.1.(1) ข้อมูลปริมาณการใช้น้ำและวิเคราะห์ผล .xlsx,3,3.1,3.1.2,spreadsheet,2569,confirmed,high,No M365 authenticated session on export host,"Anchor text ""3.1.(1) ข้อมูลปริมาณการใช้น้ำและวิเคราะห์ผล .xlsx"" matches indicator pattern"
